抄録スクレイピング開始: 2003件
予想時間: 約50分
  [20/2003] 1.0% | 抄録あり: 7 | 漢方処方の構造解析 (第2報)
  [1280/2003] 63.9% | 抄録あり: 978 | アトピー性皮膚炎の漢方治療
  [1300/2003] 64.9% | 抄録あり: 995 | 置鍼治療とリハビリテーションの併用が奏効した難治性Hunt症
  [1320/2003] 65.9% | 抄録あり: 1015 | 管理栄養士養成課程の学生に対する漢方医学の教育効果
  [1340/2003] 66.9% | 抄録あり: 1035 | <b>更年期男性の不定愁訴に白虎加人参湯が有効であった2例<
  [1360/2003] 67.9% | 抄録あり: 1055 | <b>東洋医学における外感内傷論の原義 </b>
  [1380/2003] 68.9% | 抄録あり: 1074 | <b>シスプラチンによるラット胃排出低下に対する</b><b
  [1400/2003] 69.9% | 抄録あり: 1094 | <b>インフルエンザ診療における意思決定モデルの開発</b>
  [1420/2003] 70.9% | 抄録あり: 1114 | <b>『宋板傷寒論』の権衡の検討</b>
  [1440/2003] 71.9% | 抄録あり: 1134 | <b>西洋薬による症状コントロール困難な冠攣縮性狭心症に対し
  [1460/2003] 72.9% | 抄録あり: 1154 | <b>潰瘍性大腸炎に対する大腸亜全摘術後の腸膣瘻に漢方治療が
  [1480/2003] 73.9% | 抄録あり: 1173 | <b>黄連湯が有効であった顔面紅斑・紅潮の5例</b>
  [1500/2003] 74.9% | 抄録あり: 1193 | <b>透析患者の手根管症候群の随伴症状の緩和に五積散が有用で
  [1520/2003] 75.9% | 抄録あり: 1213 | <b>救急受診した過換気発作に四逆散が有効と考えられた5症例
  [1540/2003] 76.9% | 抄録あり: 1233 | <b>当帰四逆加呉茱萸生姜湯証の発現機序</b>
  [1560/2003] 77.9% | 抄録あり: 1253 | <b>西洋医学的アプローチでの止血困難例に対する</b><b
  [1580/2003] 78.9% | 抄録あり: 1273 | <b>真武湯，帰脾湯，電気温鍼が有効であった </b><b>
  [1600/2003] 79.9% | 抄録あり: 1293 | <b>腰椎疾患の下肢症状に対する</b><b>漢方治療の後方
  [1620/2003] 80.9% | 抄録あり: 1313 | <b>定位放射線治療後の放射線脳壊死の周辺浮腫に</b><b
  [1640/2003] 81.9% | 抄録あり: 1333 | <b>胃食道逆流症による咽喉頭違和感に</b><b>清熱補血
  [1660/2003] 82.9% | 抄録あり: 1353 | 整形外科の疼痛性疾患に対する漢方治療
  [1680/2003] 83.9% | 抄録あり: 1373 | 国際疾病分類第11改訂第26章伝統医学分類がリリースされた。
  [1700/2003] 84.9% | 抄録あり: 1393 | 福島県立医科大学会津医療センターにおける烏頭含有方剤使用例の
  [1720/2003] 85.9% | 抄録あり: 1413 | 原発不明頭頸部癌加療中の昼夜逆転を呈した睡眠障害と疼痛コント
  [1740/2003] 86.9% | 抄録あり: 1433 | 漢方診療外来における電話相談対応の実態調査研究
  [1760/2003] 87.9% | 抄録あり: 1453 | 血の道症に漢方治療が7年に渡り奏効した一症例
  [1780/2003] 88.9% | 抄録あり: 1473 | 日本人における腸間膜静脈硬化症の有症状化に関連する因子の解析
  [1800/2003] 89.9% | 抄録あり: 1492 | 不登校の孫と易疲労の祖母に柴胡加竜骨牡蛎湯が奏効した症例
  [1820/2003] 90.9% | 抄録あり: 1512 | 桂枝加朮附湯エキスと麻黄附子細辛湯エキスの併用により軽快した
  [1840/2003] 91.9% | 抄録あり: 1531 | 新型コロナウイルス感染症（COVID-19）に対する漢方薬治
  [1860/2003] 92.9% | 抄録あり: 1551 | 感染症後の精神症状に対する竹筎温胆湯の経験
  [1880/2003] 93.9% | 抄録あり: 1570 | 漢方専門施設におけるインシデント・アクシデント事例の実態調査
  [1900/2003] 94.9% | 抄録あり: 1589 | 抑肝散が著効した睡眠時歯ぎしりの2例
  [1920/2003] 95.9% | 抄録あり: 1608 | In reply, to the Editor
  [1940/2003] 96.9% | 抄録あり: 1628 | 政策提言委員会報告～漢方フレイルスコア
  [1960/2003] 97.9% | 抄録あり: 1648 | Retained Products of Conceptio
  [1980/2003] 98.9% | 抄録あり: 1665 | 薬物性肝障害診断基準の変遷とDLST
  [2000/2003] 99.9% | 抄録あり: 1685 | 乳腺診療における漢方治療
  [2003/2003] 100.0% | 抄録あり: 1687 | 村井氏の論文は我々の六病位の陽証病期における疾病の進行順序の

完了！ 抄録あり: 1687/2003件
保存: G:\マイドライブ\18_東洋医学雑誌\data\metadata_with_abstracts.json
